#a1 a2 eps sig(A)
B0T B0G 1.7 3.6
B0T B0A 1.4 3.6
B0T B0C 1.4 3.6
B0T B0T 1.0 3.6
B0T B0U 1.0 3.6
B0U B0G 1.5 3.6
B0U B0A 1.3 3.6
B0U B0C 1.3 3.6
B0U B0U 0.9 3.6
B0G B0G 1.8 3.6
B0G B0A 1.8 3.6
B0G B0C 1.5 3.6
B0A B0A 1.4 3.6
B0A B0C 1.5 3.6
B0C B0C 1.4 3.6
