#a1 a2 eps sig(A)
B05T3 B0cGu 1.7 3.6
B05T3 B0cGg 1.7 3.6
B05T3 B0cGc 1.7 3.6
B05T3 B0cGt 1.7 3.6
B05T3 B0tGa 1.7 3.6
B05T3 B0tGu 1.7 3.6
B05T3 B0tGg 1.7 3.6
B05T3 B0tGc 1.7 3.6
B05T3 B0tGt 1.7 3.6
B05Ga B0aTa 1.7 3.6
B05Gu B0aTa 1.7 3.6
B05Gg B0aTa 1.7 3.6
B05Gc B0aTa 1.7 3.6
B05Gt B0aTa 1.7 3.6
B05G3 B0aTa 1.7 3.6
B0aGa B0aTa 1.7 3.6
B0aGu B0aTa 1.7 3.6
B0aGg B0aTa 1.7 3.6
B0aGc B0aTa 1.7 3.6
B0aGt B0aTa 1.7 3.6
B0aG3 B0aTa 1.7 3.6
B0aTa B0uGa 1.7 3.6
B0aTa B0uGu 1.7 3.6
B0aTa B0uGg 1.7 3.6
B0aTa B0uGc 1.7 3.6
B0aTa B0uGt 1.7 3.6
B0aTa B0uG3 1.7 3.6
B0aTa B0gGa 1.7 3.6
B0aTa B0gGu 1.7 3.6
B0aTa B0gGg 1.7 3.6
B0aTa B0gGc 1.7 3.6
B0aTa B0gGt 1.7 3.6
B0aTa B0gG3 1.7 3.6
B0aTa B0cGa 1.7 3.6
B0aTa B0cGu 1.7 3.6
B0aTa B0cGg 1.7 3.6
B0aTa B0cGc 1.7 3.6
B0aTa B0cGt 1.7 3.6
B0aTa B0cG3 1.7 3.6
B0aTa B0tGa 1.7 3.6
B0aTa B0tGu 1.7 3.6
B0aTa B0tGg 1.7 3.6
B0aTa B0tGc 1.7 3.6
B0aTa B0tGt 1.7 3.6
B0aTa B0tG3 1.7 3.6
B05Ga B0aTu 1.7 3.6
B05Gu B0aTu 1.7 3.6
B05Gg B0aTu 1.7 3.6
B05Gc B0aTu 1.7 3.6
B05Gt B0aTu 1.7 3.6
B05G3 B0aTu 1.7 3.6
B0aGa B0aTu 1.7 3.6
B0aGu B0aTu 1.7 3.6
B0aGg B0aTu 1.7 3.6
B0aGc B0aTu 1.7 3.6
B0aGt B0aTu 1.7 3.6
B0aG3 B0aTu 1.7 3.6
B0aTu B0uGa 1.7 3.6
B0aTu B0uGu 1.7 3.6
B0aTu B0uGg 1.7 3.6
B0aTu B0uGc 1.7 3.6
B0aTu B0uGt 1.7 3.6
B0aTu B0uG3 1.7 3.6
B0aTu B0gGa 1.7 3.6
B0aTu B0gGu 1.7 3.6
B0aTu B0gGg 1.7 3.6
B0aTu B0gGc 1.7 3.6
B0aTu B0gGt 1.7 3.6
B0aTu B0gG3 1.7 3.6
B0aTu B0cGa 1.7 3.6
B0aTu B0cGu 1.7 3.6
B0aTu B0cGg 1.7 3.6
B0aTu B0cGc 1.7 3.6
B0aTu B0cGt 1.7 3.6
B0aTu B0cG3 1.7 3.6
B0aTu B0tGa 1.7 3.6
B0aTu B0tGu 1.7 3.6
B0aTu B0tGg 1.7 3.6
B0aTu B0tGc 1.7 3.6
B0aTu B0tGt 1.7 3.6
B0aTu B0tG3 1.7 3.6
B05Ga B0aTg 1.7 3.6
B05Gu B0aTg 1.7 3.6
B05Gg B0aTg 1.7 3.6
B05Gc B0aTg 1.7 3.6
B05Gt B0aTg 1.7 3.6
B05G3 B0aTg 1.7 3.6
B0aGa B0aTg 1.7 3.6
B0aGu B0aTg 1.7 3.6
B0aGg B0aTg 1.7 3.6
B0aGc B0aTg 1.7 3.6
B0aGt B0aTg 1.7 3.6
B0aG3 B0aTg 1.7 3.6
B0aTg B0uGa 1.7 3.6
B0aTg B0uGu 1.7 3.6
B0aTg B0uGg 1.7 3.6
B0aTg B0uGc 1.7 3.6
B0aTg B0uGt 1.7 3.6
B0aTg B0uG3 1.7 3.6
B0aTg B0gGa 1.7 3.6
B0aTg B0gGu 1.7 3.6
B0aTg B0gGg 1.7 3.6
B0aTg B0gGc 1.7 3.6
B0aTg B0gGt 1.7 3.6
B0aTg B0gG3 1.7 3.6
B0aTg B0cGa 1.7 3.6
B0aTg B0cGu 1.7 3.6
B0aTg B0cGg 1.7 3.6
B0aTg B0cGc 1.7 3.6
B0aTg B0cGt 1.7 3.6
B0aTg B0cG3 1.7 3.6
B0aTg B0tGa 1.7 3.6
B0aTg B0tGu 1.7 3.6
B0aTg B0tGg 1.7 3.6
B0aTg B0tGc 1.7 3.6
B0aTg B0tGt 1.7 3.6
B0aTg B0tG3 1.7 3.6
B05Ga B0aTc 1.7 3.6
B05Gu B0aTc 1.7 3.6
B05Gg B0aTc 1.7 3.6
B05Gc B0aTc 1.7 3.6
B05Gt B0aTc 1.7 3.6
B05G3 B0aTc 1.7 3.6
B0aGa B0aTc 1.7 3.6
B0aGu B0aTc 1.7 3.6
B0aGg B0aTc 1.7 3.6
B0aGc B0aTc 1.7 3.6
B0aGt B0aTc 1.7 3.6
B0aG3 B0aTc 1.7 3.6
B0aTc B0uGa 1.7 3.6
B0aTc B0uGu 1.7 3.6
B0aTc B0uGg 1.7 3.6
B0aTc B0uGc 1.7 3.6
B0aTc B0uGt 1.7 3.6
B0aTc B0uG3 1.7 3.6
B0aTc B0gGa 1.7 3.6
B0aTc B0gGu 1.7 3.6
B0aTc B0gGg 1.7 3.6
B0aTc B0gGc 1.7 3.6
B0aTc B0gGt 1.7 3.6
B0aTc B0gG3 1.7 3.6
B0aTc B0cGa 1.7 3.6
B0aTc B0cGu 1.7 3.6
B0aTc B0cGg 1.7 3.6
B0aTc B0cGc 1.7 3.6
B0aTc B0cGt 1.7 3.6
B0aTc B0cG3 1.7 3.6
B0aTc B0tGa 1.7 3.6
B0aTc B0tGu 1.7 3.6
B0aTc B0tGg 1.7 3.6
