#a1 a2 eps sig(A)
B05Ua CBY 2.1 3.6
B05Uu CBY 2.1 3.6
B05Ug CBY 2.1 3.6
B05Uc CBY 2.1 3.6
B05Ut CBY 2.1 3.6
B05U3 CBY 2.1 3.6
B0aUa CBY 2.1 3.6
B0aUu CBY 2.1 3.6
B0aUg CBY 2.1 3.6
B0aUc CBY 2.1 3.6
B0aUt CBY 2.1 3.6
B0aU3 CBY 2.1 3.6
B0uUa CBY 2.1 3.6
B0uUu CBY 2.1 3.6
B0uUg CBY 2.1 3.6
B0uUc CBY 2.1 3.6
B0uUt CBY 2.1 3.6
B0uU3 CBY 2.1 3.6
B0gUa CBY 2.1 3.6
B0gUu CBY 2.1 3.6
B0gUg CBY 2.1 3.6
B0gUc CBY 2.1 3.6
B0gUt CBY 2.1 3.6
B0gU3 CBY 2.1 3.6
B0cUa CBY 2.1 3.6
B0cUu CBY 2.1 3.6
B0cUg CBY 2.1 3.6
B0cUc CBY 2.1 3.6
B0cUt CBY 2.1 3.6
B0cU3 CBY 2.1 3.6
B0tUa CBY 2.1 3.6
B0tUu CBY 2.1 3.6
B0tUg CBY 2.1 3.6
B0tUc CBY 2.1 3.6
B0tUt CBY 2.1 3.6
B0tU3 CBY 2.1 3.6
#B0U CBF 2.6 3.6
B05Ua CBF 2.6 3.6
B05Uu CBF 2.6 3.6
B05Ug CBF 2.6 3.6
B05Uc CBF 2.6 3.6
B05Ut CBF 2.6 3.6
B05U3 CBF 2.6 3.6
B0aUa CBF 2.6 3.6
B0aUu CBF 2.6 3.6
B0aUg CBF 2.6 3.6
B0aUc CBF 2.6 3.6
B0aUt CBF 2.6 3.6
B0aU3 CBF 2.6 3.6
B0uUa CBF 2.6 3.6
B0uUu CBF 2.6 3.6
B0uUg CBF 2.6 3.6
B0uUc CBF 2.6 3.6
B0uUt CBF 2.6 3.6
B0uU3 CBF 2.6 3.6
B0gUa CBF 2.6 3.6
B0gUu CBF 2.6 3.6
B0gUg CBF 2.6 3.6
B0gUc CBF 2.6 3.6
B0gUt CBF 2.6 3.6
B0gU3 CBF 2.6 3.6
B0cUa CBF 2.6 3.6
B0cUu CBF 2.6 3.6
B0cUg CBF 2.6 3.6
B0cUc CBF 2.6 3.6
B0cUt CBF 2.6 3.6
B0cU3 CBF 2.6 3.6
B0tUa CBF 2.6 3.6
B0tUu CBF 2.6 3.6
B0tUg CBF 2.6 3.6
B0tUc CBF 2.6 3.6
B0tUt CBF 2.6 3.6
B0tU3 CBF 2.6 3.6
#B0U CBH 2.3 3.6
B05Ua CBH 2.3 3.6
