#a1 a2 eps sig(A)
S0aAa B0uUg 1.00 10.00
B0aAa S0uUg 1.00 10.00
B0aAa B0uUg 1.00  6.00
#S0aAa S0uUc 1.00 14.00
S0aAa B0uUc 1.00 10.00
B0aAa S0uUc 1.00 10.00
B0aAa B0uUc 1.00  6.00
#S0aAa S0uUt 2.00 14.00
S0aAa B0uUt 2.00 10.00
B0aAa S0uUt 2.00 10.00
B0aAa B0uUt 2.00  6.00
#S0aAa S0uU3 1.00 14.00
S0aAa B0uU3 1.00 10.00
B0aAa S0uU3 1.00 10.00
B0aAa B0uU3 1.00  6.00
#S0aAa S0gUu 1.00 14.00
S0aAa B0gUu 1.00 10.00
B0aAa S0gUu 1.00 10.00
B0aAa B0gUu 1.00  6.00
#S0aAa S0gUt 1.00 14.00
S0aAa B0gUt 1.00 10.00
B0aAa S0gUt 1.00 10.00
B0aAa B0gUt 1.00  6.00
#S0aAa S0cUu 1.00 14.00
S0aAa B0cUu 1.00 10.00
B0aAa S0cUu 1.00 10.00
B0aAa B0cUu 1.00  6.00
#S0aAa S0cUt 1.00 14.00
S0aAa B0cUt 1.00 10.00
B0aAa S0cUt 1.00 10.00
B0aAa B0cUt 1.00  6.00
#S0aAa S0tUa 1.00 14.00
S0aAa B0tUa 1.00 10.00
B0aAa S0tUa 1.00 10.00
B0aAa B0tUa 1.00  6.00
#S0aAa S0tUu 2.00 14.00
S0aAa B0tUu 2.00 10.00
B0aAa S0tUu 2.00 10.00
B0aAa B0tUu 2.00  6.00
#S0aAa S0tUg 1.00 14.00
S0aAa B0tUg 1.00 10.00
B0aAa S0tUg 1.00 10.00
B0aAa B0tUg 1.00  6.00
#S0aAa S0tUc 1.00 14.00
S0aAa B0tUc 1.00 10.00
B0aAa S0tUc 1.00 10.00
B0aAa B0tUc 1.00  6.00
#S0aAa S0tUt 2.00 14.00
S0aAa B0tUt 2.00 10.00
B0aAa S0tUt 2.00 10.00
B0aAa B0tUt 2.00  6.00
#S0aAa S0tU3 1.00 14.00
S0aAa B0tU3 1.00 10.00
B0aAa S0tU3 1.00 10.00
B0aAa B0tU3 1.00  6.00
#S05Uu S0aAu 1.00 14.00
S05Uu B0aAu 1.00 10.00
B05Uu S0aAu 1.00 10.00
B05Uu B0aAu 1.00  6.00
#S05Ut S0aAu 1.00 14.00
S05Ut B0aAu 1.00 10.00
B05Ut S0aAu 1.00 10.00
B05Ut B0aAu 1.00  6.00
#S0aAu S0aUa 1.00 14.00
S0aAu B0aUa 1.00 10.00
B0aAu S0aUa 1.00 10.00
B0aAu B0aUa 1.00  6.00
#S0aAu S0aUu 2.00 14.00
S0aAu B0aUu 2.00 10.00
B0aAu S0aUu 2.00 10.00
B0aAu B0aUu 2.00  6.00
#S0aAu S0aUg 1.00 14.00
S0aAu B0aUg 1.00 10.00
B0aAu S0aUg 1.00 10.00
B0aAu B0aUg 1.00  6.00
#S0aAu S0aUc 1.00 14.00
S0aAu B0aUc 1.00 10.00
B0aAu S0aUc 1.00 10.00
B0aAu B0aUc 1.00  6.00
#S0aAu S0aUt 2.00 14.00
S0aAu B0aUt 2.00 10.00
B0aAu S0aUt 2.00 10.00
B0aAu B0aUt 2.00  6.00
#S0aAu S0aU3 1.00 14.00
S0aAu B0aU3 1.00 10.00
B0aAu S0aU3 1.00 10.00
B0aAu B0aU3 1.00  6.00
#S0aAu S0uUu 1.00 14.00
S0aAu B0uUu 1.00 10.00
B0aAu S0uUu 1.00 10.00
B0aAu B0uUu 1.00  6.00
#S0aAu S0uUt 1.00 14.00
S0aAu B0uUt 1.00 10.00
B0aAu S0uUt 1.00 10.00
B0aAu B0uUt 1.00  6.00
#S0aAu S0gUu 1.00 14.00
S0aAu B0gUu 1.00 10.00
B0aAu S0gUu 1.00 10.00
B0aAu B0gUu 1.00  6.00
#S0aAu S0gUt 1.00 14.00
S0aAu B0gUt 1.00 10.00
B0aAu S0gUt 1.00 10.00
B0aAu B0gUt 1.00  6.00
